Id,SceneRoadType,Note,Content
1,,,CoinProp^3.2* -0.7* -2.0^^^|CoinProp^3.2* -0.7* 4.0^^^|CoinProp^3.2* -0.7* 10.0^^^|CoinProp^3.2* -0.7* 16.0^^^|CoinProp^3.2* -0.7* 22.0^^^|GlovesProp^0.0* 0.0* 23.4^^^|NormalCar3^0.0* 0.0* 30.0^^^|ExperienceBigProp^3.2* -0.9* 33.0^^^|NormalCar2^-3.2* 0.0* 50.0^^^|CoinProp^0.0* -0.8* 52.1^^^|CoinProp^0.0* -0.8* 58.1^^^|CoinProp^0.0* -0.8* 64.1^^^|CoinProp^0.0* -0.8* 70.1^^^|CoinProp^0.0* -0.8* 76.1^^^|MagnetProp^0.0* -1.1* 83.5^^^|NormalCar1^-3.2* 0.0* 90.0^^^|NormalCar1^-6.4* 0.0* 90.0^^^|MagnetProp^-2.7* 0.0* 108.8^^^|BoomerangeProp^0.3* 0.0* 108.8^^^|MissileProp^-6.1* 0.0* 108.8^^^|FireBallProp^3.3* 0.0* 109.1^^^|FlyBmobProp^5.9* 0.0* 109.2^^^|ExperienceSmallProp^-3.2* -1.1* 118.0^^^|ExperienceSmallProp^-3.2* -1.1* 124.0^^^|ExperienceSmallProp^-3.2* -1.1* 130.0^^^|ExperienceSmallProp^-3.2* -1.1* 136.0^^^|ExperienceSmallProp^-3.2* -1.1* 142.0^^^|NormalCar1^-6.4* 0.0* 150.0^^^|NormalCar3^-3.2* 0.0* 150.0^^^|ExperienceSmallProp^3.2* -1.1* 178.0^^^|ExperienceSmallProp^3.2* -1.1* 184.0^^^|ExperienceSmallProp^3.2* -1.1* 190.0^^^|ExperienceSmallProp^3.2* -1.1* 196.0^^^|ExperienceSmallProp^3.2* -1.1* 202.0^^^|NormalCar1^3.2* 0.0* 210.0^^^|NormalCar1^-6.4* 0.0* 210.0^^^|CoinProp^-6.4* -0.8* 232.1^^^|ShapeShiftProp^6.9* 0.0* 233.6^^^|ShapeShiftProp^3.5* 0.0* 233.6^^^|ShapeShiftProp^-3.3* 0.0* 233.6^^^|ShapeShiftProp^0.1* 0.0* 233.6^^^|ShapeShiftProp^-6.7* 0.0* 233.6^^^|CoinProp^-6.4* -0.8* 238.1^^^|CoinProp^-6.4* -0.8* 244.1^^^|CoinProp^-6.4* -0.8* 250.1^^^|CoinProp^-6.4* -0.8* 256.1^^^|OilProp^-6.4* -1.0* 267.1^^^0&5|NormalCar3^0.0* 0.0* 270.0^^^|NormalCar2^-3.2* 0.0* 270.0^^^|ExperienceSmallProp^-6.4* -1.1* 298.0^^^|ExperienceSmallProp^-6.4* -1.1* 304.0^^^|ExperienceSmallProp^-6.4* -1.1* 310.0^^^|ExperienceSmallProp^-6.4* -1.1* 316.0^^^|ExperienceSmallProp^-6.4* -1.1* 322.0^^^|NormalCar3^6.4* 0.0* 330.0^^^|NormalCar3^6.4* 0.0* 340.0^^^|CoinProp^-6.4* -0.8* 352.1^^^|CoinProp^-6.4* -0.8* 358.1^^^|CoinProp^-6.4* -0.8* 364.1^^^|CoinProp^-6.4* -0.8* 370.1^^^|CoinProp^-6.4* -0.8* 376.1^^^|TurboProp^-6.4* -1.1* 383.3^^^|NormalCar1^3.2* 0.0* 390.0^^^|NormalCar3^-6.4* 0.0* 410.0^^^|CoinProp^-6.4* -0.7* 418.0^^^|CoinProp^-6.4* -0.7* 424.0^^^|CoinProp^-6.4* -0.7* 430.0^^^|CoinProp^-6.4* -0.7* 436.0^^^|CoinProp^-6.4* -0.7* 442.0^^^
2,,,CoinProp^0.0* -0.7* -2.0^^^|CoinProp^0.0* -0.7* 4.0^^^|CoinProp^0.0* -0.7* 10.0^^^|CoinProp^0.0* -0.7* 16.0^^^|CoinProp^0.0* -0.7* 22.0^^^|NormalCar3^-3.2* 0.0* 43.0^^^|NormalCar1^3.2* 0.0* 43.0^^^|ExperienceSmallProp^3.2* -1.1* 71.0^^^|ExperienceSmallProp^3.2* -1.1* 77.0^^^|ExperienceSmallProp^3.2* -1.1* 83.0^^^|ExperienceSmallProp^3.2* -1.1* 89.0^^^|ExperienceSmallProp^3.2* -1.1* 95.0^^^|NormalCar2^-3.2* 0.0* 116.5^^^|NormalCar2^3.2* 0.0* 116.5^^^|CoinProp^0.0* -0.8* 128.6^^^|CoinProp^0.0* -0.8* 134.6^^^|CoinProp^0.0* -0.8* 140.6^^^|CoinProp^0.0* -0.8* 146.6^^^|CoinProp^0.0* -0.8* 152.6^^^|CoinBigProp^0.0* -1.0* 163.6^^^|NormalCar2^-6.4* 0.0* 168.5^^^|NormalCar3^-6.4* 0.0* 178.5^^^|CoinProp^-6.4* -0.7* 190.6^^^|CoinProp^-6.4* -0.7* 196.6^^^|CoinProp^-6.4* -0.7* 202.6^^^|CoinProp^-6.4* -0.7* 208.6^^^|CoinProp^-6.4* -0.7* 214.6^^^|ExperienceMiddleProp^-6.4* -1.0* 225.2^^^|NormalCar2^-3.2* 0.0* 230.5^^^|NormalCar2^0.0* 0.0* 230.5^^^|CoinProp^-6.4* -0.8* 252.6^^^|CoinProp^-6.4* -0.8* 258.6^^^|CoinProp^-6.4* -0.8* 264.6^^^|CoinProp^-6.4* -0.8* 270.6^^^|CoinProp^-6.4* -0.8* 276.6^^^|MagnetProp^-6.4* -1.1* 284.0^^^|NormalCar2^0.0* 0.0* 297.6^^^|NormalCar1^-3.2* 0.0* 317.6^^^|ExperienceSmallProp^-6.4* -1.1* 325.6^^^|ExperienceSmallProp^-6.4* -1.1* 331.6^^^|ExperienceSmallProp^-6.4* -1.1* 337.6^^^|ExperienceSmallProp^-6.4* -1.1* 343.6^^^|ExperienceSmallProp^-6.4* -1.1* 349.6^^^|NormalCar3^6.4* 0.0* 359.6^^^|NormalCar3^0.0* 0.0* 369.6^^^|NormalCar1^0.0* 0.0* 422.9^^^|NormalCar2^-6.4* 0.0* 432.9^^^|CoinProp^0.0* -0.7* 450.9^^^|CoinProp^0.0* -0.7* 456.9^^^|CoinProp^0.0* -0.7* 462.9^^^|CoinProp^0.0* -0.7* 468.9^^^|CoinProp^0.0* -0.7* 474.9^^^
3,,,MagnetProp^0.0* 0.0* 80.0^^^
4,,,ExperienceSmallProp^-14.0* -1.1* -2.0^^^|ExperienceSmallProp^-14.0* -1.1* 4.0^^^|ExperienceSmallProp^-14.0* -1.1* 10.0^^^|ExperienceSmallProp^-14.0* -1.1* 16.0^^^|CoinProp^-7.0* -0.7* 18.0^^^|ExperienceSmallProp^-14.0* -1.1* 22.0^^^|CoinProp^-7.0* -0.7* 24.0^^^|CoinProp^-7.0* -0.7* 30.0^^^|CoinProp^-7.0* -0.7* 36.0^^^|CoinProp^-7.0* -0.7* 42.0^^^|NormalCar1^-14.0* 0.0* 50.0^^^|NormalCar1^7.0* 0.0* 50.0^^^|CoinProp^7.0* -0.7* 78.0^^^|CoinProp^7.0* -0.7* 84.0^^^|CoinProp^7.0* -0.7* 90.0^^^|CoinProp^7.0* -0.7* 96.0^^^|CoinProp^0.0* -0.7* 98.0^^^|CoinProp^7.0* -0.7* 102.0^^^|CoinProp^0.0* -0.7* 104.0^^^|CoinProp^0.0* -0.7* 110.0^^^|CoinProp^0.0* -0.7* 116.0^^^|CoinProp^0.0* -0.7* 122.0^^^|NormalCar3^14.0* 0.0* 130.0^^^|ExperienceBigProp^0.0* -0.9* 133.0^^^|NormalCar1^-14.0* 0.0* 140.0^^^|CoinProp^-14.0* -0.7* 152.1^^^|CoinProp^-14.0* -0.7* 158.1^^^|CoinProp^-14.0* -0.7* 164.1^^^|CoinProp^-14.0* -0.7* 170.1^^^|CoinProp^-14.0* -0.7* 176.1^^^|ExperienceSmallProp^-7.0* -1.1* 178.0^^^|ExperienceSmallProp^-7.0* -1.1* 184.0^^^|ExperienceMiddleProp^-14.0* -1.0* 186.7^^^|ExperienceSmallProp^-7.0* -1.1* 190.0^^^|ExperienceSmallProp^-7.0* -1.1* 196.0^^^|ExperienceSmallProp^-7.0* -1.1* 202.0^^^|NormalCar2^7.0* 0.0* 210.0^^^|NormalCar3^7.0* 0.0* 220.0^^^|CoinProp^-14.0* -0.8* 232.1^^^|CoinProp^-14.0* -0.8* 238.1^^^|CoinProp^-14.0* -0.8* 244.1^^^|CoinProp^-14.0* -0.8* 250.1^^^|CoinProp^-14.0* -0.8* 256.1^^^|CoinProp^-14.0* -0.7* 258.0^^^|CoinProp^-14.0* -0.7* 264.0^^^|OilProp^-14.0* -1.0* 267.1^^^0&5|CoinProp^-14.0* -0.7* 270.0^^^|CoinProp^-14.0* -0.7* 276.0^^^|CoinProp^-14.0* -0.7* 282.0^^^|NormalCar2^-7.0* 0.0* 290.0^^^|NormalCar1^14.0* 0.0* 290.0^^^|ExperienceSmallProp^0.0* -1.1* 318.0^^^|ExperienceSmallProp^0.0* -1.1* 324.0^^^|ExperienceSmallProp^0.0* -1.1* 330.0^^^|CoinProp^-14.0* -0.8* 332.1^^^|ExperienceSmallProp^0.0* -1.1* 336.0^^^|CoinProp^-14.0* -0.8* 338.1^^^|ExperienceSmallProp^0.0* -1.1* 342.0^^^|CoinProp^-14.0* -0.8* 344.1^^^|CoinProp^-14.0* -0.8* 350.1^^^|CoinProp^-14.0* -0.8* 356.1^^^|CoinBigProp^-14.0* -1.0* 367.1^^^|NormalCar1^-14.0* 0.0* 370.0^^^|NormalCar3^14.0* 0.0* 370.0^^^|CoinProp^-14.0* -0.7* 398.0^^^|CoinProp^-14.0* -0.7* 404.0^^^|CoinProp^-14.0* -0.7* 410.0^^^|CoinProp^-14.0* -0.7* 416.0^^^|CoinProp^-14.0* -0.7* 422.0^^^|NormalCar2^-7.0* 0.0* 450.0^^^|NormalCar3^-14.0* 0.0* 470.0^^^|CoinProp^0.0* -0.7* 478.0^^^|CoinProp^0.0* -0.7* 484.0^^^|CoinProp^0.0* -0.7* 490.0^^^|CoinProp^14.0* -0.8* 492.1^^^|CoinProp^0.0* -0.7* 496.0^^^|CoinProp^14.0* -0.8* 498.1^^^|CoinProp^0.0* -0.7* 502.0^^^|CoinProp^14.0* -0.8* 504.1^^^|CoinProp^14.0* -0.8* 510.1^^^|ExperienceBigProp^0.0* -0.9* 513.0^^^|CoinProp^14.0* -0.8* 516.1^^^|CoinBigProp^14.0* -1.0* 527.1^^^|NormalCar2^-7.0* 0.0* 530.0^^^|NormalCar1^0.0* 0.0* 530.0^^^|CoinProp^-14.0* -0.7* 558.0^^^|CoinProp^-14.0* -0.7* 564.0^^^|CoinProp^-14.0* -0.7* 570.0^^^|CoinProp^-14.0* -0.7* 576.0^^^|ExperienceSmallProp^0.0* -1.1* 578.0^^^|CoinProp^-14.0* -0.7* 582.0^^^|ExperienceSmallProp^0.0* -1.1* 584.0^^^|ExperienceSmallProp^0.0* -1.1* 590.0^^^|ExperienceSmallProp^0.0* -1.1* 596.0^^^|ExperienceSmallProp^0.0* -1.1* 602.0^^^|NormalCar3^-7.0* 0.0* 610.0^^^|NormalCar3^14.0* 0.0* 610.0^^^|CoinProp^-14.0* -0.7* 638.0^^^|CoinProp^-14.0* -0.7* 644.0^^^|CoinProp^-14.0* -0.7* 650.0^^^|CoinProp^-14.0* -0.8* 652.1^^^|CoinProp^-14.0* -0.7* 656.0^^^|CoinProp^-14.0* -0.8* 658.1^^^|CoinProp^-14.0* -0.7* 662.0^^^|CoinProp^-14.0* -0.8* 664.1^^^|CoinProp^-14.0* -0.8* 670.1^^^|CoinProp^-14.0* -0.8* 676.1^^^|MagnetProp^-14.0* -1.1* 683.5^^^|NormalCar1^-7.0* 0.0* 690.0^^^|NormalCar2^7.0* 0.0* 690.0^^^|ExperienceSmallProp^7.0* -1.1* 718.0^^^|ExperienceSmallProp^7.0* -1.1* 724.0^^^|ExperienceSmallProp^7.0* -1.1* 730.0^^^|CoinProp^-14.0* -0.8* 732.1^^^|ExperienceSmallProp^7.0* -1.1* 736.0^^^|CoinProp^-14.0* -0.8* 738.1^^^|ExperienceSmallProp^7.0* -1.1* 742.0^^^|CoinProp^-14.0* -0.8* 744.1^^^|CoinProp^-14.0* -0.8* 750.1^^^|CoinProp^-14.0* -0.8* 756.1^^^|CoinBigProp^-14.0* -1.0* 767.1^^^|NormalCar1^-14.0* 0.0* 770.0^^^|NormalCar3^14.0* 0.0* 780.0^^^|CoinProp^-14.0* -0.8* 792.1^^^|CoinProp^-14.0* -0.8* 798.1^^^|CoinProp^-14.0* -0.8* 804.1^^^|CoinProp^-14.0* -0.8* 810.1^^^|CoinProp^-14.0* -0.8* 816.1^^^|CoinProp^-14.0* -0.7* 818.0^^^|CoinProp^-14.0* -0.7* 824.0^^^|CoinBigProp^-14.0* -1.0* 827.1^^^|CoinProp^-14.0* -0.7* 830.0^^^|CoinProp^-14.0* -0.7* 836.0^^^|CoinProp^-14.0* -0.7* 842.0^^^|NormalCar3^14.0* 0.0* 850.0^^^|NormalCar2^7.0* 0.0* 860.0^^^|CoinProp^7.0* -0.8* 872.1^^^|CoinProp^7.0* -0.8* 878.1^^^|CoinProp^7.0* -0.8* 884.1^^^|CoinProp^7.0* -0.8* 890.1^^^|CoinProp^-14.0* -0.8* 892.1^^^|CoinProp^7.0* -0.8* 896.1^^^|CoinProp^-14.0* -0.8* 898.1^^^|CoinProp^-14.0* -0.8* 904.1^^^|CoinBigProp^7.0* -1.0* 907.1^^^|CoinProp^-14.0* -0.8* 910.1^^^|CoinProp^-14.0* -0.8* 916.1^^^|CoinBigProp^-14.0* -1.0* 927.1^^^|NormalCar2^0.0* 0.0* 930.0^^^|NormalCar3^-7.0* 0.0* 940.0^^^|CoinProp^-14.0* -0.8* 952.1^^^|CoinProp^-14.0* -0.8* 958.1^^^|CoinProp^-14.0* -0.8* 964.1^^^|CoinProp^-14.0* -0.8* 970.1^^^|CoinProp^-14.0* -0.8* 976.1^^^|ExperienceSmallProp^-14.0* -1.1* 978.0^^^|MagnetProp^-14.0* -1.1* 983.5^^^|ExperienceSmallProp^-14.0* -1.1* 984.0^^^|ExperienceSmallProp^-14.0* -1.1* 990.0^^^|ExperienceSmallProp^-14.0* -1.1* 996.0^^^|ExperienceSmallProp^-14.0* -1.1* 1002.0^^^|NormalCar3^14.0* 0.0* 1010.0^^^|NormalCar2^-14.0* 0.0* 1020.0^^^|CoinProp^-14.0* -0.8* 1032.1^^^|CoinProp^-14.0* -0.8* 1038.1^^^|CoinProp^-14.0* -0.8* 1044.1^^^|CoinProp^-14.0* -0.8* 1050.1^^^|CoinProp^-14.0* -0.8* 1056.1^^^|CoinProp^-14.0* -0.7* 1058.0^^^|CoinProp^-14.0* -0.7* 1064.0^^^|CoinBigProp^-14.0* -1.0* 1067.1^^^|CoinProp^-14.0* -0.7* 1070.0^^^|CoinProp^-14.0* -0.7* 1076.0^^^|CoinProp^-14.0* -0.7* 1082.0^^^|NormalCar1^7.0* 0.0* 1090.0^^^|NormalCar1^-7.0* 0.0* 1100.0^^^|CoinProp^-14.0* -0.7* 1118.0^^^|CoinProp^-14.0* -0.7* 1124.0^^^|CoinProp^-14.0* -0.7* 1130.0^^^|CoinProp^-14.0* -0.7* 1136.0^^^|CoinProp^7.0* -0.7* 1138.0^^^|CoinProp^-14.0* -0.7* 1142.0^^^|CoinProp^7.0* -0.7* 1144.0^^^|CoinProp^7.0* -0.7* 1150.0^^^|CoinProp^7.0* -0.7* 1156.0^^^|CoinProp^7.0* -0.7* 1162.0^^^|NormalCar3^7.0* 0.0* 1170.0^^^|NormalCar3^14.0* 0.0* 1170.0^^^|ExperienceSmallProp^7.0* -1.1* 1198.0^^^|ExperienceSmallProp^7.0* -1.1* 1204.0^^^|ExperienceSmallProp^7.0* -1.1* 1210.0^^^|ExperienceSmallProp^7.0* -1.1* 1216.0^^^|CoinProp^-14.0* -0.7* 1218.0^^^|ExperienceSmallProp^7.0* -1.1* 1222.0^^^|CoinProp^-14.0* -0.7* 1224.0^^^|CoinProp^-14.0* -0.7* 1230.0^^^|CoinProp^-14.0* -0.7* 1236.0^^^|CoinProp^-14.0* -0.7* 1242.0^^^|NormalCar3^-14.0* 0.0* 1250.0^^^|NormalCar1^7.0* 0.0* 1250.0^^^|CoinProp^14.0* -0.7* 1278.0^^^|CoinProp^14.0* -0.7* 1284.0^^^|CoinProp^14.0* -0.7* 1290.0^^^|CoinProp^14.0* -0.7* 1296.0^^^|CoinProp^-7.0* -0.7* 1298.0^^^|CoinProp^14.0* -0.7* 1302.0^^^|CoinProp^-7.0* -0.7* 1304.0^^^|CoinProp^-7.0* -0.7* 1310.0^^^|CoinProp^-7.0* -0.7* 1316.0^^^|CoinProp^-7.0* -0.7* 1322.0^^^|ExperienceBigProp^-7.0* -0.9* 1333.0^^^
101,,,CoinProp^-0.1* -0.2* 123.2^^^|CoinProp^-0.1* -0.2* 129.2^^^|CoinProp^-0.1* -0.2* 135.2^^^|CoinProp^-0.1* -0.2* 141.2^^^|CoinProp^-0.1* -0.2* 147.2^^^|guideItem^0.0* 0.0* 148.0^^^0&0|CoinProp^7.3* -0.2* 175.6^^^|CoinProp^7.3* -0.2* 181.6^^^|CoinProp^7.3* -0.2* 187.6^^^|CoinProp^7.3* -0.2* 193.6^^^|CoinProp^7.3* -0.2* 199.6^^^|guideItem^0.0* 0.0* 200.5^^^0&1|CoinProp^-0.4* -0.2* 236.5^^^|CoinProp^-0.4* -0.2* 242.5^^^|CoinProp^-0.4* -0.2* 248.5^^^|CoinProp^-0.4* -0.2* 254.5^^^|CoinProp^-0.4* -0.2* 260.5^^^|RandomProp^-16.1* 0.0* 267.7^^^0&25|RandomProp^16.6* 0.0* 267.7^^^0&25|RandomProp^8.4* 0.0* 267.7^^^0&15|RandomProp^0.0* 0.0* 267.7^^^0&15|RandomProp^-8.3* 0.0* 267.7^^^0&25|guideItem^0.0* 0.0* 276.6^^^0&2|NormalCar1^-17.3* 0.0* 358.7^^^|CoinProp^-8.2* -0.2* 373.7^^^|CoinProp^8.8* -0.1* 373.9^^^|CoinProp^-8.2* -0.2* 379.7^^^|CoinProp^8.8* -0.1* 379.9^^^|CoinProp^-8.2* -0.2* 385.7^^^|CoinProp^8.8* -0.1* 385.9^^^|CoinProp^-8.2* -0.2* 391.7^^^|CoinProp^8.8* -0.1* 391.9^^^|CoinProp^-8.2* -0.2* 397.7^^^|CoinProp^8.8* -0.1* 397.9^^^|NormalCar3^-16.4* 0.3* 407.0^^^|NormalCar5^16.9* 0.0* 456.0^^^|CoinProp^0.1* -0.2* 480.0^^^|CoinProp^0.1* -0.2* 486.0^^^|CoinProp^0.1* -0.2* 492.0^^^|CoinProp^0.1* -0.2* 498.0^^^|CoinProp^0.1* -0.2* 504.0^^^
102,,,CoinProp^-8.7* -0.2* 50.6^^^|CoinProp^-8.7* -0.2* 56.6^^^|CoinProp^-8.7* -0.2* 62.6^^^|CoinProp^-8.7* -0.2* 68.6^^^|CoinProp^-8.7* -0.2* 74.6^^^|ColorEggProp^0.0* 0.0* 92.8^^^|RandomProp^-8.8* 2.0* 117.4^^^0&14|RandomProp^8.6* 2.0* 117.4^^^0&15|NormalCar1^-8.3* 0.0* 150.7^^^|CoinProp^-16.6* -0.1* 169.4^^^|CoinProp^-16.6* -0.1* 175.4^^^|CoinProp^-16.6* -0.1* 181.4^^^|CoinProp^-16.6* -0.1* 187.4^^^|CoinProp^-16.6* -0.1* 193.4^^^|NormalCar5^16.9* 0.0* 217.3^^^|RandomProp^16.7* 0.0* 265.4^^^0&16|RandomProp^-16.6* 0.0* 265.4^^^0&19|RandomProp^0.0* 0.0* 265.4^^^0&20|CoinProp^0.0* -0.2* 280.2^^^|CoinProp^0.0* -0.2* 286.2^^^|CoinProp^0.0* -0.2* 292.2^^^|CoinProp^0.0* -0.2* 298.2^^^|CoinProp^0.0* -0.2* 304.2^^^|CoinBigProp^0.0* -0.4* 315.2^^^|NormalCar1^-8.4* 0.0* 357.8^^^|CoinProp^9.1* -0.1* 398.1^^^|CoinProp^9.1* -0.1* 404.1^^^|CoinProp^9.1* -0.1* 410.1^^^|CoinProp^9.1* -0.1* 416.1^^^|CoinProp^9.1* -0.1* 422.1^^^
103,,,CoinProp^-16.4* -0.1* 46.5^^^|CoinProp^-16.4* -0.1* 52.5^^^|CoinProp^-16.4* -0.1* 58.5^^^|CoinProp^-16.4* -0.1* 64.5^^^|CoinProp^-16.4* -0.1* 70.5^^^|RandomProp^-16.5* 0.0* 114.9^^^0&22|RandomProp^-8.3* 0.0* 114.9^^^0&23|RandomProp^0.0* 0.0* 114.9^^^0&25|RandomProp^8.6* 0.0* 114.9^^^0&14|RandomProp^17.2* 0.0* 114.9^^^0&15|NormalCar3^16.9* 0.0* 142.0^^^|CoinProp^8.8* -0.2* 160.8^^^|CoinProp^8.8* -0.2* 166.8^^^|CoinProp^8.8* -0.2* 172.8^^^|NormalCar1^-16.7* 0.0* 176.2^^^|CoinProp^8.8* -0.2* 178.8^^^|CoinProp^8.8* -0.2* 184.8^^^|CoinBigProp^8.8* -0.4* 195.8^^^|CoinProp^-8.9* -0.2* 278.1^^^|CoinProp^-8.9* -0.2* 284.1^^^|CoinProp^-8.9* -0.2* 290.1^^^|CoinProp^-8.9* -0.2* 296.1^^^|CoinProp^-8.9* -0.2* 302.1^^^|CoinBigProp^-8.9* -0.4* 313.1^^^|NormalCar3^16.9* 0.0* 342.5^^^|CoinProp^-8.5* -0.2* 388.2^^^|CoinProp^-8.5* -0.2* 394.2^^^|CoinProp^-8.5* -0.2* 400.2^^^|CoinProp^-8.5* -0.2* 406.2^^^|CoinProp^-8.5* -0.2* 412.2^^^
201,,,guideItem^0.0* 0.0* 46.5^^^0&3|CoinProp^-8.2* -0.8* 156.0^^^|CoinProp^-8.2* -0.8* 162.0^^^|CoinProp^-8.2* -0.8* 168.0^^^|CoinProp^-8.2* -0.8* 174.0^^^|CoinProp^-8.2* -0.8* 180.0^^^|NormalCar3^17.1* 0.0* 193.9^^^|NormalCar1^-8.1* 0.0* 255.1^^^|guideItem^0.0* 0.0* 284.5^^^0&4|CoinProp^8.3* -0.7* 292.6^^^|CoinProp^8.3* -0.7* 298.6^^^|CoinProp^8.3* -0.7* 304.6^^^|CoinProp^8.3* -0.7* 310.6^^^|CoinProp^8.3* -0.7* 316.6^^^|RandomProp^16.7* 0.0* 358.0^^^0&14|RandomProp^-16.4* 0.0* 358.0^^^0&15|RandomProp^-8.5* 0.0* 358.0^^^0&16|RandomProp^0.0* 0.0* 358.0^^^0&19|RandomProp^8.2* 0.0* 358.0^^^0&20|NormalCar1^-16.5* 0.0* 463.4^^^|RandomProp^0.0* 0.0* 516.0^^^0&22|RandomProp^-8.5* 0.0* 516.0^^^0&23|RandomProp^16.7* 0.0* 516.0^^^0&25|RandomProp^-16.4* 0.0* 516.0^^^0&14|RandomProp^8.2* 0.0* 516.0^^^0&15|CoinProp^0.0* -0.8* 545.3^^^|CoinProp^0.0* -0.8* 551.3^^^|CoinProp^0.0* -0.8* 557.3^^^|CoinProp^0.0* -0.8* 563.3^^^|CoinProp^0.0* -0.8* 569.3^^^|CoinBigProp^0.0* -1.0* 580.3^^^|NormalCar5^17.1* 0.0* 623.5^^^|CoinProp^-16.4* -0.8* 675.1^^^|CoinProp^-16.4* -0.8* 681.1^^^|CoinProp^-16.4* -0.8* 687.1^^^|CoinProp^-16.4* -0.8* 693.1^^^|CoinProp^-16.4* -0.8* 699.1^^^|CoinBigProp^-16.4* -1.0* 710.1^^^
202,,,CoinProp^-8.6* -0.7* 48.8^^^|CoinProp^-8.6* -0.7* 54.8^^^|CoinProp^-8.6* -0.7* 60.8^^^|CoinProp^-8.6* -0.7* 66.8^^^|CoinProp^-8.6* -0.7* 72.8^^^|LiBaoProp^0.0* 0.0* 116.7^^^|ColorEggProp^0.0* 0.0* 119.5^^^|NormalCar10^8.4* 0.0* 151.6^^^|CoinProp^0.0* -0.7* 171.1^^^|CoinProp^0.0* -0.7* 177.1^^^|CoinProp^0.0* -0.7* 183.1^^^|CoinProp^0.0* -0.7* 189.1^^^|CoinProp^0.0* -0.7* 195.1^^^|RandomProp^0.0* 0.0* 225.8^^^0&22|RandomProp^16.6* 0.0* 225.8^^^0&25|RandomProp^-16.9* 0.0* 225.8^^^0&20|NormalCar3^-16.3* 0.0* 259.7^^^|CoinProp^-8.5* -0.8* 328.0^^^|CoinProp^-8.5* -0.8* 334.0^^^|CoinProp^-8.5* -0.8* 340.0^^^|CoinProp^-8.5* -0.8* 346.0^^^|CoinProp^-8.5* -0.8* 352.0^^^|CoinBigProp^-8.5* -1.0* 363.0^^^|NormalCar1^8.5* 0.0* 406.0^^^|CoinProp^17.2* -0.8* 491.7^^^|CoinProp^17.2* -0.8* 497.7^^^|CoinProp^17.2* -0.8* 503.7^^^|CoinProp^17.2* -0.8* 509.7^^^|CoinProp^17.2* -0.8* 515.7^^^
203,,,NormalCar5^17.1* 0.3* 103.5^^^|CoinProp^0.0* -0.8* 136.6^^^|CoinProp^0.0* -0.8* 142.6^^^|CoinProp^0.0* -0.8* 148.6^^^|CoinProp^0.0* -0.8* 154.6^^^|CoinProp^0.0* -0.8* 160.6^^^|CoinBigProp^0.0* -1.0* 171.6^^^|NormalCar1^-8.7* 0.0* 177.7^^^|RandomProp^-8.4* 0.0* 211.3^^^0&19|RandomProp^0.0* 0.0* 211.3^^^0&23|RandomProp^8.1* 0.0* 211.3^^^0&25|RandomProp^16.8* 0.0* 211.3^^^0&16|RandomProp^-16.3* 0.0* 211.3^^^0&22|CoinProp^-16.4* -0.8* 260.3^^^|CoinProp^-16.4* -0.8* 266.3^^^|CoinProp^-16.4* -0.8* 272.3^^^|CoinProp^-16.4* -0.8* 278.3^^^|CoinProp^-16.4* -0.8* 284.3^^^|NormalCar10^0.1* 0.0* 297.5^^^|CoinProp^8.7* -0.7* 326.2^^^|CoinProp^8.7* -0.7* 332.2^^^|CoinProp^8.7* -0.7* 338.2^^^|CoinProp^8.7* -0.7* 344.2^^^|CoinProp^8.7* -0.7* 350.2^^^|CoinProp^-8.3* -0.7* 410.3^^^|CoinProp^-8.3* -0.7* 416.3^^^|CoinProp^-8.3* -0.7* 422.3^^^|CoinProp^-8.3* -0.7* 428.3^^^|CoinProp^-8.3* -0.7* 434.3^^^
